LAnkle	LAnkle	LAnkle	LAnkleMed	LAnkleMed	LAnkleMed	LASIS	LASIS	LASIS	LHeel	LHeel	LHeel	LKnee	LKnee	LKnee	LKneeMed	LKneeMed	LKneeMed	LShank	LShank	LShank	LThigh	LThigh	LThigh	LToe	LToe	LToe	RAnkle	RAnkle	RAnkle	RAnkleMed	RAnkleMed	RAnkleMed	RASIS	RASIS	RASIS	RHeel	RHeel	RHeel	RKnee	RKnee	RKnee	RKneeMed	RKneeMed	RKneeMed	RShank	RShank	RShank	RThigh	RThigh	RThigh	RToe	RToe	RToe	VSacral	VSacral	VSacral																			
X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z																				
-0.398616	0.505907	0.101328	-0.361271	0.426499	0.112142	-0.26876	0.472042	1.022552	-0.456707	0.447326	0.061656	-0.326498	0.505227	0.516906	-0.300989	0.404941	0.489088	-0.313271	0.49573	0.347624	-0.249074	0.482684	0.67308	-0.193526	0.511476	0.04233	-0.528898	0.168384	0.129938	-0.437966	0.190279	0.124165	-0.292041	0.200141	1.019244	-0.534768	0.253604	0.094605	-0.390046	0.116609	0.521619	-0.315323	0.189871	0.494183	-0.404318	0.12457	0.338763	-0.292132	0.13591	0.642621	-0.408505	0.026922	0.057867	-0.510862	0.356858	1.000881																			20	0.063333
-0.398545	0.505884	0.101352	-0.361226	0.42656	0.112022	-0.268227	0.47234	1.022501	-0.456685	0.447296	0.061641	-0.326221	0.505293	0.516916	-0.300562	0.40493	0.489234	-0.313102	0.495708	0.347597	-0.248795	0.482691	0.673016	-0.193488	0.511444	0.042216	-0.527856	0.168132	0.130819	-0.437253	0.190976	0.12503	-0.292002	0.200395	1.019517	-0.534751	0.253395	0.095541	-0.387787	0.11578	0.522127	-0.31389	0.189648	0.494518	-0.402381	0.124448	0.339151	-0.29048	0.135429	0.643538	-0.406078	0.028095	0.058705	-0.510562	0.35757	1.000987																			21	0.066667
-0.398512	0.50589	0.101362	-0.361173	0.426521	0.112139	-0.267515	0.472656	1.022414	-0.456658	0.44736	0.061743	-0.325985	0.505413	0.516917	-0.30054	0.40506	0.489189	-0.312927	0.495713	0.347565	-0.24841	0.482755	0.672956	-0.193468	0.511462	0.042183	-0.526813	0.167894	0.131723	-0.436462	0.191707	0.125886	-0.291881	0.200609	1.019783	-0.534708	0.253044	0.096412	-0.385356	0.115325	0.522459	-0.311349	0.188897	0.495543	-0.400515	0.124454	0.339492	-0.288898	0.134849	0.644446	-0.403529	0.029323	0.059571	-0.51023	0.358207	1.001056																			22	0.07
-0.398465	0.505859	0.101384	-0.361126	0.426512	0.112167	-0.267103	0.472827	1.022279	-0.456688	0.447319	0.061841	-0.325721	0.505456	0.516926	-0.300226	0.405115	0.489326	-0.312766	0.495719	0.34761	-0.248137	0.482707	0.672944	-0.19344	0.511451	0.042152	-0.525746	0.167565	0.132587	-0.435659	0.192409	0.126789	-0.29174	0.200812	1.020171	-0.534678	0.252697	0.097283	-0.382223	0.114816	0.523157	-0.31023	0.188959	0.495738	-0.398586	0.124402	0.339875	-0.287384	0.134226	0.645361	-0.400812	0.030596	0.060419	-0.50985	0.358798	1.001192																			23	0.073333
-0.398425	0.50587	0.10144	-0.361083	0.426537	0.112188	-0.266527	0.473106	1.022316	-0.456586	0.447356	0.06181	-0.325497	0.505477	0.516949	-0.300158	0.405142	0.489356	-0.312646	0.495677	0.347534	-0.248109	0.482532	0.672756	-0.193459	0.511473	0.042113	-0.524663	0.167229	0.133314	-0.434854	0.193376	0.127596	-0.291583	0.20101	1.020544	-0.534624	0.252267	0.098063	-0.38001	0.114221	0.523569	-0.307769	0.188471	0.496692	-0.3967	0.124402	0.34033	-0.285772	0.133919	0.646165	-0.397842	0.031859	0.061192	-0.509512	0.359432	1.001303																			24	0.076667
-0.398366	0.505869	0.101445	-0.361053	0.426509	0.112192	-0.266041	0.473279	1.022248	-0.456689	0.447413	0.062024	-0.325273	0.505499	0.516951	-0.300106	0.405234	0.489421	-0.312518	0.495701	0.347618	-0.247627	0.482692	0.672921	-0.193424	0.511436	0.042089	-0.523427	0.166772	0.133861	-0.433801	0.194127	0.128598	-0.291584	0.201224	1.02084	-0.534542	0.251813	0.098837	-0.377646	0.11389	0.523885	-0.306072	0.188453	0.497398	-0.394792	0.124477	0.340673	-0.284207	0.133567	0.646979	-0.394197	0.033461	0.061988	-0.509156	0.359933	1.001442																			25	0.08
-0.398357	0.505836	0.101499	-0.360992	0.426516	0.112206	-0.265559	0.473413	1.022242	-0.456551	0.447336	0.061975	-0.325127	0.505479	0.516953	-0.299901	0.405251	0.489472	-0.312426	0.495664	0.347566	-0.247328	0.482626	0.672922	-0.193407	0.51145	0.042083	-0.52217	0.166335	0.134488	-0.432858	0.194824	0.129417	-0.2914	0.201409	1.021252	-0.534386	0.251129	0.09961	-0.375441	0.113556	0.524266	-0.304913	0.188726	0.497829	-0.392936	0.124603	0.34111	-0.282701	0.133397	0.64779	-0.391058	0.034918	0.062616	-0.508802	0.360514	1.001556																			26	0.083333
-0.39832	0.505832	0.101523	-0.360952	0.426501	0.112194	-0.265097	0.473555	1.022238	-0.456599	0.447459	0.062091	-0.324992	0.50545	0.516946	-0.299708	0.405176	0.489442	-0.312369	0.49565	0.347575	-0.247099	0.482518	0.672939	-0.193399	0.511421	0.042021	-0.520665	0.1657	0.134762	-0.43186	0.195501	0.130251	-0.291335	0.201563	1.021638	-0.53421	0.250616	0.100218	-0.373266	0.113234	0.524554	-0.303478	0.18889	0.498357	-0.39104	0.124801	0.34147	-0.281253	0.133238	0.648698	-0.387712	0.036513	0.063068	-0.508428	0.361035	1.001643																			27	0.086667
-0.398268	0.505802	0.101536	-0.360883	0.426484	0.112261	-0.264591	0.47362	1.022224	-0.456536	0.447366	0.062121	-0.324889	0.505482	0.517004	-0.299696	0.405138	0.489415	-0.312322	0.495667	0.347621	-0.246914	0.482405	0.672878	-0.1934	0.511461	0.041995	-0.519158	0.165073	0.135063	-0.430804	0.196142	0.131037	-0.291148	0.201632	1.022077	-0.533874	0.249813	0.100714	-0.371306	0.112938	0.524976	-0.301556	0.189052	0.499263	-0.389095	0.124908	0.341891	-0.279858	0.133203	0.649463	-0.384057	0.038157	0.063483	-0.508044	0.361498	1.001791																			28	0.09
-0.398232	0.505798	0.101591	-0.360895	0.426463	0.112305	-0.264121	0.473748	1.022238	-0.456512	0.447285	0.062124	-0.324847	0.505465	0.517021	-0.299661	0.405185	0.489411	-0.312304	0.49564	0.347661	-0.246737	0.482344	0.672794	-0.193368	0.511467	0.042002	-0.517594	0.164439	0.135393	-0.429659	0.196806	0.131711	-0.29102	0.201756	1.022516	-0.533574	0.249037	0.101169	-0.369209	0.112943	0.525259	-0.300201	0.189378	0.499939	-0.387196	0.125139	0.34226	-0.278459	0.133273	0.650264	-0.380213	0.039959	0.063939	-0.507606	0.36197	1.001929																			29	0.093333
